Note,76:250,79:250,75:750,72:250,84:500,76:750,81:750,75:1250,76:500,75:250,77:500,78:500,79:500,81:500,74:250,71:500,72:500,69:1500,77:1500,67:1500,75:500,79:750,60:2000,65:2000,80:750,69:250,77:250,69:750,72:750,77:750,73:250,73:500,70:500,81:250,74:750,65:250,67:250,71:250,72:1250,71:750,86:750,74:500,72:1000,86:250,83:250,84:250,86:500,69:500,72:1500,67:750,64:750,64:250,71:1500,78:250,65:500,64:500,83:750,70:250,62:250,81:1000,76:1500,74:1000,79:1500,77:2000,80:250,66:500,71:1250,80:500,60:250,60:500,73:750,72:2000,82:2000,68:750,68:250,70:750,75:2000,76:1000,71:1000,67:500,66:250,62:750,67:1250,64:1750,59:500,74:1250,65:1250,65:750,69:1000,68:1500,79:1000,68:500,84:750,78:1500,83:500,88:500,88:250,62:500,82:250,86:1250,88:750,70:1000,67:2000,67:1000,66:750,65:1000,60:1000,58:750,66:1500,61:500,52:500,82:500,87:500,57:250,59:250,55:250,55:500,55:750,60:1250,59:750,60:750,60:2500,79:2000,64:1500,65:1500,61:750,63:750,64:2000,69:2000,58:1500,57:1500,59:1000,58:250,63:250,56:250,55:1500,48:250,55:1000,57:750,50:750,57:500,53:250,89:750,86:1750,89:250,85:250,63:500,62:1500,64:1250,64:1000,55:2000,56:2000,65:2750,60:2750,59:2750,62:2750,53:1500,59:1500,50:1500,60:1500,52:1500,48:750,53:500,61:250,53:750,54:500,50:500,62:1000,52:250,48:500,54:250,55:1250,59:1250,46:750,46:500,45:500,50:250,50:1000,58:500,51:500,49:2000,48:2000,57:1000,47:500,55:2750,48:1000,56:1500,56:500,68:2000,68:1250,74:1500,81:1250,54:750,59:2500,62:2500,65:2500,67:2500,56:750,57:2750,63:1500,58:2750,57:1250,53:1750,54:2500,57:2500,54:1000,48:1500,52:2000,45:1500,52:750,45:750,61:1500,44:750,43:250,63:1000,52:1250,50:1250,48:1250,49:500,43:750,41:750,43:500,36:250,43:1000,55:1750,50:1750,47:1750,49:1000,46:250,54:1500,48:2500,49:750,36:500,38:500,40:250,36:1500,40:1500,43:1500,52:1000,52:2250,53:2250,57:2250,53:1250,40:500,53:1000,46:1500,51:1500,49:1500,53:2500,41:250,63:2750,45:250,47:1000,51:750,45:1000,58:1000,62:1250,61:2750,47:750,47:250,
77,116,61,4,20,2,15,6,2,29,17,2,2,12,5,44,10,14,3,3,3,8,3,3,4,4,7,8,1,3,4,1,2,1,20,2,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,73,42,0,110,0,8,6,0,9,4,14,4,3,2,12,46,29,0,0,0,0,2,0,0,0,18,42,0,21,12,13,0,2,0,8,2,8,54,0,20,0,21,2,10,9,8,2,7,5,4,3,1,3,4,6,2,2,3,4,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,37,20,6,18,0,7,5,0,16,7,9,0,4,8,54,30,3,0,0,0,4,2,0,0,0,27,26,10,21,18,0,8,9,6,2,16,24,103,10,26,0,25,4,0,0,0,0,16,0,12,4,9,0,2,8,6,0,7,12,0,0,8,0,0,0,2,2,2,8,4,8,2,2,2,5,10,2,4,8,6,8,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,1,8,0,58,0,8,0,0,4,0,2,0,6,0,41,16,20,0,0,11,0,0,0,0,0,48,22,4,14,8,0,0,0,4,4,2,33,1,2,18,0,48,4,0,0,0,0,10,0,12,3,1,0,0,2,0,0,0,8,0,0,8,8,0,0,0,3,0,0,0,0,0,0,0,3,3,0,4,8,8,4,3,5,0,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,20,55,2,64,8,4,0,0,16,10,9,4,9,0,108,0,10,0,0,2,2,2,0,0,0,2,72,0,2,0,16,3,0,2,8,0,6,0,2,4,0,30,16,2,0,13,0,4,0,8,0,0,0,12,0,0,0,2,0,0,0,23,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,4,16,2,0,0,0,0,0,0,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,68,19,0,2,2,2,0,0,24,0,15,2,7,2,19,8,19,1,1,1,0,5,0,0,0,0,116,3,4,15,0,0,0,50,0,0,4,2,2,2,0,5,0,8,26,32,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,8,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,14,0,6,3,0,4,0,0,11,6,4,0,1,0,4,0,0,0,0,0,1,0,0,0,0,4,12,2,6,4,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,3,0,2,34,0,3,2,0,2,3,6,0,0,4,13,6,25,4,3,10,0,0,0,0,0,7,4,9,12,9,0,1,5,0,7,12,26,26,0,1,2,5,3,0,0,0,0,3,0,26,7,0,0,0,18,8,0,0,4,0,0,0,0,0,0,13,0,0,11,11,0,0,0,0,7,9,0,0,0,33,16,1,4,0,6,0,0,4,0,0,0,1,0,0,0,0,0,6,0,0,0,3,0,0,5,6,3,1,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,4,84,0,0,4,0,0,0,0,0,8,2,15,3,10,4,2,0,0,0,0,13,0,0,0,0,23,0,4,2,0,2,0,6,0,2,2,2,0,0,0,0,2,0,58,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,12,4,2,34,0,7,0,0,6,0,0,0,0,0,2,17,6,0,0,0,10,0,0,0,0,7,0,9,14,1,4,4,3,0,6,36,10,24,0,7,0,5,0,0,0,0,0,14,0,47,42,95,0,0,17,43,0,7,62,0,0,0,0,0,0,11,1,0,101,18,3,2,0,5,0,8,0,0,0,28,51,4,5,0,10,0,0,21,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,2,3,0,1,2,1,0,0,0,0,8,72,36,6,6,2,2,14,4,3,5,7,3,1,2,2,2,2,6,6,4,4,2,2,1,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
